"scenario_id","rep","n","alpha","kappa","nu","fitted_model","neighb","parameter","estimate","true_value","bootstrap_se","ci_lower","ci_upper","covered","fit_converged","bootstrap_success","fit_elapsed_seconds","bootstrap_elapsed_seconds"
"S0",30,800,0.06,1,1,"clayton",10,"mean",0.205897686156629,0.2,0.0770153005230527,0.054950470872917,0.356844901440341,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",30,800,0.06,1,1,"clayton",10,"mean1",-0.216863415082936,-0.2,0.106492347471981,-0.425584580757143,-0.00814224940872901,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",30,800,0.06,1,1,"clayton",10,"scale",0.0583032956007784,0.06,0.00780954252036398,0.0429968735251308,0.0736097176764259,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",30,800,0.06,1,1,"clayton",10,"shape",1.01672432688356,1,0.0293154770631714,0.959267047650134,1.07418160611699,TRUE,TRUE,50,47.1699999999983,1827.44
"S0",31,800,0.06,1,1,"clayton",10,"mean",0.136320059038577,0.2,0.0863271278169985,-0.032878002371526,0.30551812044868,TRUE,TRUE,50,47.4099999999962,2125.87
"S0",31,800,0.06,1,1,"clayton",10,"mean1",-0.197823021329946,-0.2,0.106682944524703,-0.406917750363047,0.011271707703156,TRUE,TRUE,50,47.4099999999962,2125.87
"S0",31,800,0.06,1,1,"clayton",10,"scale",0.0637912716708769,0.06,0.00807894469286404,0.0479568310397724,0.0796257123019815,TRUE,TRUE,50,47.4099999999962,2125.87
"S0",31,800,0.06,1,1,"clayton",10,"shape",0.940205455576401,1,0.0281308058902578,0.885070089175409,0.995340821977394,FALSE,TRUE,50,47.4099999999962,2125.87
"S0",32,800,0.06,1,1,"clayton",10,"mean",0.243400023593038,0.2,0.0757674798898821,0.0948984918095064,0.39190155537657,TRUE,TRUE,50,41.6700000000055,1812.41
"S0",32,800,0.06,1,1,"clayton",10,"mean1",-0.202292718957927,-0.2,0.0997705776491062,-0.397839457866932,-0.00674598004892168,TRUE,TRUE,50,41.6700000000055,1812.41
"S0",32,800,0.06,1,1,"clayton",10,"scale",0.0609870644562798,0.06,0.00771024448479843,0.0458752629540763,0.0760988659584833,TRUE,TRUE,50,41.6700000000055,1812.41
"S0",32,800,0.06,1,1,"clayton",10,"shape",1.0624597007654,1,0.0301165550371566,1.00343233755416,1.12148706397665,FALSE,TRUE,50,41.6700000000055,1812.41
"S0",33,800,0.06,1,1,"clayton",10,"mean",0.146031676096759,0.2,0.0821547974721345,-0.0149887681058069,0.307052120299325,TRUE,TRUE,50,73.4100000000035,2134.12
"S0",33,800,0.06,1,1,"clayton",10,"mean1",-0.169275639626816,-0.2,0.0996831230764238,-0.36465097072308,0.026099691469448,TRUE,TRUE,50,73.4100000000035,2134.12
"S0",33,800,0.06,1,1,"clayton",10,"scale",0.0672245816277598,0.06,0.00860247506184634,0.050364040328637,0.0840851229268827,TRUE,TRUE,50,73.4100000000035,2134.12
"S0",33,800,0.06,1,1,"clayton",10,"shape",0.985763931242227,1,0.0293636942104442,0.928212148136709,1.04331571434775,TRUE,TRUE,50,73.4100000000035,2134.12
"S0",34,800,0.06,1,1,"clayton",10,"mean",0.228633205609312,0.2,0.0734175049252194,0.0847375401210901,0.372528871097534,TRUE,TRUE,50,44.0400000000009,1743.66
